Generation,Mean_Fitness,Mean_BaseRate,Mean_KinChange,Mean_CoopChange,Mean_DefectChange,Mean_GroupChange,SD_Fitness,SD_BaseRate,SD_KinChange,SD_CoopChange,SD_DefectChange,SD_GroupChange
0,190.08,0.0289,0.0298,-0.086,0.0176,0.014,55.6723773518,0.623959766331,0.591061722665,0.612507959132,0.595521821599,0.564021276194
1,169.89,-0.0656,0.0076,-0.0442,-0.0873,0.0354,47.033582683,0.56410162205,0.59195628217,0.637671043721,0.601191907797,0.581538339235
2,162.32,-0.1299,-0.0797,-0.0269,-0.0444,0.0487,47.1580067433,0.496597412398,0.601485585862,0.628284481744,0.55956647505,0.540939284948
3,162.4,-0.1032,-0.1004,-0.0572,-0.1464,0.0207,41.9454407534,0.545708493612,0.612248184971,0.580901161989,0.581920131977,0.556448119774
4,150.88,-0.1549,-0.1111,-0.0345,-0.226,0.0161,38.1919572685,0.536549149659,0.632692492448,0.548451228461,0.548233526884,0.598726807484
5,141.18,-0.2941,-0.0693,-0.078,-0.1865,0.0819,33.6007083259,0.461341728006,0.613195327771,0.597683862924,0.545615936351,0.610178162507
6,138.55,-0.3138,-0.0522,-0.0845,-0.1773,0.1581,33.6482911899,0.439187385976,0.593617014581,0.575703699832,0.547800794085,0.617047315852
7,142.7,-0.2749,0.0004,-0.1093,-0.1938,0.1566,35.3797964946,0.490315194543,0.586610467005,0.595950090192,0.567205042291,0.613465924074
8,131.72,-0.3446,0.0172,-0.1035,-0.2742,0.1977,28.2039288043,0.401572957257,0.620361314074,0.574463880501,0.548288573654,0.613538678487
9,133.23,-0.314,0.0795,-0.0809,-0.3642,0.2691,33.00328923,0.447233719659,0.609715302416,0.524983990232,0.573705813113,0.599384842985
10,142.97,-0.2767,0.0723,-0.0816,-0.2985,0.3248,34.2343263407,0.492954470514,0.625769694057,0.483304707198,0.577439823705,0.564831797972
11,129.92,-0.3874,0.0376,-0.0202,-0.3909,0.3559,29.163909203,0.442598282871,0.632653333193,0.46677827713,0.491135612637,0.555433335334
12,135.59,-0.3488,0.0346,0.0047,-0.376,0.3865,31.5899018675,0.486650346758,0.624755023989,0.457813182423,0.529903764848,0.532064610738
13,128.72,-0.4339,-0.0819,0.016,-0.3045,0.407,31.4216740483,0.397021145533,0.613399861428,0.451262672952,0.515001699026,0.500168971449
14,131.49,-0.3733,0.007,0.0494,-0.3437,0.2952,29.8273347787,0.437691797958,0.589609192601,0.439187477053,0.503117590629,0.579353916013
15,128.56,-0.3763,-0.0423,0.095,-0.3546,0.2823,24.89631298,0.39855904205,0.585856390253,0.507108469659,0.511142680668,0.568418604551
16,136.33,-0.3532,-0.0171,0.1356,-0.4083,0.2974,31.5128719732,0.449917503549,0.541062464046,0.482405058017,0.532967269164,0.541534154048
17,132.5,-0.3767,0.0059,0.0936,-0.367,0.23,35.1708686273,0.462834862559,0.560280456557,0.464244590706,0.552355863552,0.569870160651
18,136.53,-0.3753,-0.0725,0.0898,-0.3382,0.1439,35.6837371922,0.47710681194,0.518832101937,0.440948931283,0.580801825066,0.587977712163
19,138.43,-0.3361,-0.0647,0.0833,-0.316,0.1665,37.5377823,0.491894084128,0.56035605645,0.461794445614,0.587263143744,0.57536836027
20,134.55,-0.3917,-0.0865,0.0705,-0.2933,0.1211,31.3057103417,0.459815299876,0.535606898761,0.440511918113,0.575030529624,0.616640730085
21,138.63,-0.3467,-0.0419,0.1122,-0.2108,0.1701,34.3655801639,0.464874294837,0.522791918453,0.461080426824,0.634204509602,0.620192703924
22,138.78,-0.3491,-0.0599,0.132,-0.2109,0.1822,35.6509691313,0.449684544987,0.499118212451,0.451785347261,0.630461886239,0.650000892307
23,136.81,-0.411,-0.0508,0.0864,-0.1448,0.0825,38.8269738713,0.456023025734,0.46735998973,0.502986123069,0.644795285343,0.667644179185
24,125.98,-0.4742,-0.1243,0.1053,-0.167,0.1869,26.14,0.434039583448,0.471207502063,0.469975435528,0.575945309904,0.655632053823
25,128.13,-0.4642,-0.0887,0.0566,-0.1331,0.2167,30.7966410506,0.408759538115,0.517170484463,0.4857349483,0.592372678303,0.664832392412
26,124.87,-0.4488,-0.1051,-0.0085,-0.2275,0.1358,24.3119949819,0.39769656775,0.485098948669,0.535416426718,0.573158573172,0.660010878698
27,134.7,-0.3881,-0.1095,-0.0819,-0.18,0.1727,35.4898577061,0.447825177943,0.461803800331,0.520451140838,0.572274409702,0.644664028778
28,132.94,-0.281,-0.1002,-0.1537,-0.1998,0.1366,34.5846266425,0.475223105499,0.493827864746,0.496827243617,0.552575750463,0.681227157415
29,137.94,-0.3093,-0.0919,-0.1076,-0.1703,0.136,38.6204142909,0.470857207654,0.459176861351,0.492745613882,0.559402279223,0.673588895395
30,140.41,-0.3111,0.0199,-0.0954,-0.1391,0.0838,39.004383087,0.446812925059,0.491126246499,0.483316500856,0.608169540507,0.679857014379
31,145.72,-0.2513,-0.0763,-0.1447,-0.0248,0.112,40.9536518518,0.505010207818,0.481351545131,0.480654668135,0.593478693805,0.660293873968
32,142.0,-0.285,-0.0789,-0.0875,-0.0463,0.1367,34.2073091605,0.458542255414,0.481732072837,0.480631615689,0.548090603824,0.68361254377
33,144.88,-0.2463,-0.1709,-0.204,-0.0694,0.1046,36.8446142604,0.50693126753,0.513688806575,0.48364863279,0.587341161507,0.743457355872
34,140.84,-0.2111,-0.1829,-0.1524,-0.1523,0.0257,36.0471136154,0.507335973493,0.556516477743,0.511593823262,0.587974242633,0.723326005339
35,150.86,-0.1996,-0.2101,-0.1165,-0.0649,-0.0248,40.901349611,0.477731975066,0.530822936581,0.530308165127,0.600856879798,0.711261527147
36,137.72,-0.2492,-0.2423,-0.1391,-0.1726,0.1627,39.1438577557,0.453785588136,0.528397303173,0.502816258687,0.553365376582,0.648999006163
37,140.31,-0.2677,-0.151,-0.0766,-0.113,0.1253,39.8393511493,0.471967912045,0.528351208951,0.52003311433,0.518874744038,0.621753094082
38,138.5,-0.2736,-0.1697,-0.1018,-0.0759,0.099,34.2241143056,0.465225794642,0.511658978227,0.504987881043,0.523862758745,0.623381905416
39,139.2,-0.2597,-0.2096,-0.1466,-0.0549,0.0249,32.5901825708,0.488963096767,0.484745128908,0.47150232237,0.463373488668,0.625564537038
40,141.0,-0.2422,-0.2193,-0.0882,-0.0495,0.1932,37.6069142579,0.517315339034,0.470109040543,0.46716673683,0.420809636297,0.655569797962
41,142.39,-0.2189,-0.1962,-0.0792,-0.0866,0.1319,40.5344039058,0.503759654994,0.455955655739,0.46887670021,0.411816026886,0.636057693924
42,150.67,-0.1258,-0.2021,-0.0712,-0.1023,-0.0254,31.0580279477,0.53901053793,0.450282788923,0.47593755893,0.411914687769,0.59792210195
43,163.46,-0.0916,-0.1325,-0.0492,-0.0738,0.1109,43.8714987207,0.564233497765,0.504280427937,0.459505560358,0.473687196365,0.602526505641
44,156.67,-0.0991,-0.2055,0.0089,-0.1516,0.1139,41.7308171499,0.546386484093,0.493806389185,0.452258543313,0.492992332598,0.594299411072
45,144.44,-0.156,-0.2493,0.0064,-0.2147,0.0967,31.7283217331,0.516670107515,0.523486876626,0.465672674741,0.439339174215,0.589187669593
46,140.18,-0.1706,-0.232,-0.0275,-0.2202,0.0859,34.0759093789,0.519222148988,0.531879685643,0.46930666946,0.427618942518,0.617325027842
47,136.8,-0.2317,-0.2653,-0.0135,-0.3153,0.0814,29.9596395172,0.55953740715,0.513705080761,0.47959227475,0.418897254706,0.588549097357
48,138.59,-0.2031,-0.3564,0.0338,-0.2928,0.1066,33.6309663852,0.572918310058,0.50291653383,0.483668853659,0.466538487158,0.599848680919
49,128.22,-0.3534,-0.347,-0.1214,-0.2895,-0.053,28.9259675724,0.544544249809,0.475086307948,0.508076805217,0.513475169799,0.611850471929
50,128.75,-0.3749,-0.3277,-0.0301,-0.2948,0.0632,25.7838612314,0.523288629726,0.453574370969,0.537815014666,0.515399805976,0.629119829603
51,132.95,-0.3735,-0.2301,-0.0827,-0.3273,0.0354,35.1662835682,0.546103241155,0.499376601374,0.520224672618,0.518291144049,0.616244139932
52,123.57,-0.4459,-0.2697,0.0395,-0.3493,0.0309,27.1183535636,0.494542404653,0.489823345707,0.52431550616,0.476693308113,0.622509590288
53,130.81,-0.3708,-0.2636,0.059,-0.2887,0.0084,30.6397437979,0.500141340023,0.510183339595,0.523537009198,0.497635720181,0.639342975249
54,122.92,-0.347,-0.213,0.0617,-0.3617,-0.0477,24.4988489526,0.448065843376,0.556764761816,0.523818775914,0.436962366801,0.660793243004
55,125.17,-0.3232,-0.1285,0.1188,-0.3444,0.0081,25.9214409322,0.471285221495,0.580717444202,0.490129125843,0.407625612542,0.629507259688
56,136.03,-0.2897,-0.1387,0.085,-0.3245,-0.0821,29.015325261,0.533667415157,0.564789615698,0.495631919876,0.449438260499,0.613303016461
57,130.72,-0.3833,-0.065,0.0767,-0.2934,-0.0021,26.3803260025,0.524358760774,0.583428658878,0.557715079588,0.469255197094,0.654717183217
58,136.19,-0.4271,-0.0789,0.0779,-0.2085,0.0057,33.9204053631,0.480148508276,0.602995679918,0.584738052465,0.497671327283,0.702518690143
59,133.83,-0.374,-0.0537,0.1794,-0.2179,-0.0098,27.0529314493,0.542337533276,0.662953474989,0.596110426012,0.475817811773,0.718233917328
60,150.46,-0.229,-0.0842,0.1317,-0.1211,0.0508,40.7083332992,0.54708591647,0.664927334376,0.579946644098,0.498892563585,0.678788155465
61,151.09,-0.2505,-0.0003,0.1028,-0.0858,0.0535,34.6658607278,0.516730829349,0.64109664638,0.579102892412,0.475192971328,0.664467267817
62,143.7,-0.2813,0.0099,0.1962,-0.2144,-0.0379,33.4432354894,0.517983889711,0.599282062138,0.544741736973,0.493536867924,0.630378132552
63,144.27,-0.2635,0.0695,0.0771,-0.2645,-0.1077,34.5215454463,0.524713969702,0.549915220739,0.56310797366,0.481620960923,0.559354726448
64,135.29,-0.3762,0.0563,-0.0167,-0.2938,-0.0618,34.0714822102,0.524939577475,0.52669660147,0.521486442777,0.516030580489,0.583891051481
65,140.52,-0.4125,0.0592,-0.0542,-0.2781,0.0078,34.2144647773,0.558581014715,0.5569320964,0.504811212237,0.552598760404,0.62803117757
66,132.18,-0.4739,0.0754,-0.0998,-0.3254,0.0171,33.518466552,0.532193376509,0.548398431799,0.516761027942,0.512110183457,0.647114047135
67,138.57,-0.3945,0.0587,-0.1137,-0.3451,-0.0477,32.0665729382,0.533297993621,0.527987982818,0.490929027457,0.493263611064,0.633658985575
68,135.69,-0.4097,0.0092,-0.1623,-0.3713,0.0037,32.259787662,0.552683372285,0.541236879749,0.440687769288,0.467507550741,0.592041645495
69,135.99,-0.2962,-0.0303,-0.1276,-0.3136,-0.0037,29.3501260645,0.596009697908,0.517732469525,0.442515807627,0.471926943499,0.643803782219
70,131.83,-0.3493,-0.0068,-0.1066,-0.2881,-0.0424,31.9142773692,0.529568229787,0.527524179541,0.490862954398,0.461243308895,0.595904556116
71,133.33,-0.3272,-0.0035,-0.1418,-0.3859,-0.0041,30.0888866527,0.59173994288,0.499730677465,0.561024740987,0.400889249045,0.573717866203
72,135.66,-0.2962,-0.0168,-0.1982,-0.3327,-0.0226,43.5394579663,0.60452920525,0.495313799525,0.567861567638,0.434082607346,0.569550032921
73,143.72,-0.2652,-0.0128,-0.1509,-0.2356,-0.0391,34.2639985991,0.592063307426,0.491420553091,0.514387198519,0.507801772348,0.60231402939
74,150.6,-0.1999,0.0661,-0.0642,-0.2457,-0.0796,41.0940384971,0.601934373499,0.496269876176,0.527325667875,0.528329925331,0.562095934872
75,149.65,-0.2183,0.0897,-0.1161,-0.2956,-0.1198,36.4036742651,0.598767158418,0.555142243033,0.551076936552,0.456305424031,0.559565867437
76,154.46,-0.1906,0.101,-0.1394,-0.2838,-0.1534,43.6869362625,0.621768156148,0.54459618067,0.586632457336,0.425407522265,0.582421187801
77,157.46,-0.2397,0.1088,-0.1262,-0.2512,-0.2325,39.4003604044,0.6373561877,0.586063614295,0.580166838073,0.462805099367,0.539005333925
78,154.06,-0.2766,0.0619,-0.2119,-0.2076,-0.1286,43.4411832251,0.666239026176,0.604371897096,0.578967520678,0.488823321866,0.573517253446
79,150.57,-0.3154,0.0818,-0.2783,-0.2198,-0.0193,42.431416427,0.631995917708,0.625947889205,0.536876252036,0.51461049348,0.573189767878
80,145.07,-0.3635,0.0463,-0.1527,-0.2402,-0.1215,41.6716342372,0.551464187414,0.608886943529,0.536359683421,0.481464391207,0.551995244545
81,151.78,-0.2719,0.03,-0.1191,-0.3006,-0.233,45.1465569008,0.584678877676,0.636551647551,0.509460685431,0.448628621468,0.451429950269
82,145.8,-0.2907,-0.0485,-0.1662,-0.2872,-0.1773,42.4464368351,0.518818378626,0.59531399278,0.516619356974,0.472336913654,0.509373841103
83,130.12,-0.31,-0.0358,-0.1716,-0.3451,-0.1178,34.2231734356,0.476852178353,0.592974164699,0.51301992164,0.426332018502,0.534484012857
84,133.56,-0.3087,-0.0923,-0.178,-0.3352,-0.1475,30.2916886291,0.48734106127,0.591895016029,0.494978787424,0.44790731184,0.517699478462
85,131.81,-0.2263,-0.1658,-0.2562,-0.3381,-0.1547,28.5988443822,0.557565520813,0.596001979862,0.46907308599,0.405000481481,0.55346807496
86,132.29,-0.2909,-0.0816,-0.2455,-0.3082,-0.1394,32.7375304505,0.60173431845,0.628852478726,0.513839225828,0.443604283117,0.569343165411
87,129.15,-0.2819,-0.1633,-0.1622,-0.288,-0.0745,38.0907797242,0.614570899083,0.631360522998,0.561158765413,0.431844879557,0.581930193408
88,136.12,-0.2693,-0.1618,-0.2652,-0.2342,0.0255,35.5604499409,0.596372794483,0.628307854479,0.503671480233,0.451154474654,0.608268649529
89,125.66,-0.3497,-0.1662,-0.1839,-0.2593,0.0224,28.2231181835,0.471415856755,0.633725145469,0.565085648376,0.421115791677,0.595662857664
90,130.39,-0.3365,-0.1386,-0.1484,-0.2441,0.0341,30.7372396288,0.468944293067,0.621754002802,0.573619595202,0.435878641367,0.583631895976
91,132.27,-0.2694,-0.155,-0.1524,-0.2358,-0.0475,32.1492939269,0.512071909013,0.595807854933,0.558053975884,0.465072424467,0.5614879785
92,135.23,-0.2369,-0.2251,-0.0561,-0.2073,-0.0691,32.6566547583,0.535736306405,0.556947923957,0.594578665948,0.467520812371,0.532843494846
93,126.59,-0.2811,-0.2344,-0.0815,-0.2302,-0.0827,29.0713243592,0.505902945238,0.523135393565,0.584986110946,0.459521446725,0.504053280914
94,132.59,-0.2542,-0.1984,-0.0881,-0.2195,-0.0663,33.521364829,0.492420917509,0.490892493322,0.572438110192,0.483235708532,0.510156162366
95,136.69,-0.29,-0.1328,-0.0912,-0.1634,-0.0366,37.6387287245,0.451982300538,0.458471547645,0.512549080577,0.46582447338,0.475365585629
96,126.64,-0.3274,-0.1685,-0.0525,-0.1656,-0.0541,26.3490113667,0.428356440362,0.464976074653,0.521782282183,0.473563765506,0.473199947168
97,133.56,-0.2513,-0.1752,-0.0715,-0.1283,-0.0546,31.4707229024,0.394838334005,0.503655596613,0.532145421854,0.51671085725,0.464427432437
98,135.35,-0.1521,-0.2493,-0.1717,-0.203,-0.0169,43.4046944466,0.404465808196,0.442057134316,0.545716144163,0.459047927781,0.508206050731
99,133.2,-0.1811,-0.2636,-0.1698,-0.2074,0.0156,38.1853375001,0.455238168435,0.394686001779,0.547254931453,0.43427092926,0.515748620939
100,124.96,-0.3066,-0.2296,-0.183,-0.1597,0.139,33.0538711802,0.485535209846,0.408107632862,0.525902082141,0.404260942956,0.578818624441
101,123.58,-0.346,-0.2701,-0.2542,-0.1491,0.0385,27.9564590032,0.508837891671,0.386104895074,0.510727285349,0.433838898671,0.656785162743
102,126.85,-0.3519,-0.2006,-0.2549,-0.2062,-0.0763,35.8207691151,0.512854160556,0.420297085405,0.509047139271,0.426597655877,0.70038511549
103,122.97,-0.4075,-0.2325,-0.2198,-0.2503,-0.0638,32.2504124005,0.548844923453,0.427086349583,0.522574358345,0.430999895592,0.677750367023
104,128.22,-0.3622,-0.2032,-0.2226,-0.2174,-0.105,31.4641319601,0.539020556194,0.47432663851,0.503034034634,0.453774437358,0.663976656216
105,128.04,-0.3068,-0.1956,-0.2553,-0.2528,-0.1655,28.4020844305,0.544115575958,0.512943115755,0.529819695746,0.418421031976,0.665963024499
106,127.07,-0.3338,-0.1894,-0.1848,-0.1519,-0.1969,35.4700592049,0.530763186365,0.530748188881,0.492124943485,0.458603739627,0.657669666322
107,119.7,-0.3752,-0.244,-0.1318,-0.2009,-0.0848,25.7928284606,0.517634001974,0.487493589701,0.502884440006,0.422916291954,0.658488390179
108,126.28,-0.3746,-0.2086,-0.2382,-0.079,-0.1475,26.7223052898,0.525660384659,0.471798728273,0.46801790564,0.474976841541,0.644959494852
109,135.76,-0.3524,-0.1023,-0.2408,-0.0585,-0.1343,36.6156032314,0.51776079419,0.47965165485,0.474570711275,0.453242484769,0.661657396241
110,137.0,-0.2693,-0.0987,-0.1966,-0.1452,-0.09,36.5989070875,0.503075054043,0.487656959347,0.527287815145,0.437599085922,0.635748377898
111,137.23,-0.2338,-0.1027,-0.1013,-0.1445,-0.0887,30.5551485023,0.510579631399,0.520737659479,0.599587616617,0.434585722269,0.645695988837
112,131.96,-0.2812,-0.0677,-0.149,-0.234,-0.0681,24.083986381,0.52214227946,0.519482155613,0.592721688485,0.376459825214,0.652692416074
113,131.92,-0.3526,-0.0243,-0.2086,-0.2253,-0.0557,31.1286620336,0.496287457025,0.534429144041,0.622135065721,0.411233400881,0.629890871501
114,131.64,-0.3189,-0.1246,-0.1412,-0.3281,-0.0293,26.6527747148,0.514864826921,0.512839975041,0.630432042333,0.399113254603,0.638047419868
115,132.44,-0.3562,-0.1182,-0.0751,-0.2599,0.0688,33.320060024,0.504136449783,0.502482596714,0.627202511156,0.482799119718,0.635566330134
116,139.37,-0.2793,-0.1191,-0.0073,-0.299,0.0262,33.4465708257,0.551521994122,0.532020854854,0.611309831428,0.43881089321,0.633077846714
117,134.3,-0.3425,-0.0761,-0.0776,-0.3252,0.0055,26.2855473597,0.524077045863,0.550032535401,0.558992164525,0.43113682283,0.631399041811
118,131.51,-0.3962,-0.1639,-0.0837,-0.2421,0.0342,28.7031339752,0.512963507474,0.551510462276,0.523057654566,0.488414363016,0.596902303564
119,137.72,-0.3944,-0.0975,-0.0427,-0.2172,0.084,33.3244894935,0.544316672535,0.612043094888,0.512144227733,0.492814529007,0.598605045084
120,139.84,-0.4446,-0.1991,-0.0297,-0.1568,0.1509,45.4413292059,0.505905959641,0.576836363278,0.482877738149,0.495471250427,0.596642430606
121,139.74,-0.3781,-0.2383,0.0568,-0.1488,0.1317,37.0560710276,0.534083691944,0.593735724039,0.520472631365,0.493806196802,0.592403671494
122,149.28,-0.4036,-0.1456,0.0419,-0.0829,0.1317,35.9916879293,0.556277844247,0.644374611542,0.482944499917,0.520947780492,0.555375647648
123,152.55,-0.3836,-0.1445,0.061,-0.0462,0.2107,49.0912161186,0.564467040668,0.648171852212,0.46781727202,0.511319430493,0.525886404084
124,145.5,-0.3875,-0.0801,-0.0107,-0.0839,0.251,38.8760851939,0.552522171501,0.642142499762,0.500999510978,0.49586065583,0.505829022497
125,133.48,-0.3969,-0.2119,-0.0558,-0.1002,0.2124,34.3806573526,0.553929047803,0.608969120728,0.561533934861,0.509538968088,0.512597541937
126,131.35,-0.4524,-0.22,-0.0002,-0.0912,0.0983,32.3732528486,0.471415146129,0.581668290351,0.566681533138,0.51794841442,0.497644561911
127,131.95,-0.5017,-0.178,-0.0436,-0.1805,0.0794,31.9059163793,0.435584790827,0.638938181673,0.57014826142,0.531487299942,0.516082977824
128,137.56,-0.4333,-0.1606,0.045,-0.2717,0.0563,31.1776586677,0.476474668792,0.64526090847,0.553151877878,0.520290409291,0.537301879766
129,124.78,-0.5299,-0.2887,-0.0641,-0.2396,-0.0157,29.8451269054,0.413542005122,0.606739903089,0.601855622222,0.515811826154,0.574113673413
130,121.41,-0.441,-0.3517,-0.0167,-0.326,-0.0764,21.5949507987,0.512508536514,0.617229381997,0.593799722129,0.493238279131,0.62482560767
131,134.84,-0.3509,-0.2725,-0.033,-0.281,-0.1266,33.9174645279,0.57856735995,0.60290028197,0.585826766203,0.55454576006,0.591415623737
132,134.26,-0.3933,-0.2206,-0.0334,-0.2364,-0.0323,31.1578625711,0.528906522932,0.63825671951,0.623322099721,0.570442845516,0.604805514194
133,135.19,-0.313,-0.2941,0.0488,-0.2612,-0.1359,29.3893501119,0.577701480005,0.564716025981,0.650421832352,0.552116436995,0.600361715968
134,139.41,-0.3244,-0.193,0.1422,-0.2554,-0.0908,29.7674637818,0.568394792376,0.612146224361,0.608372550334,0.597599230254,0.632556210941
135,138.95,-0.3104,-0.2449,0.1297,-0.2064,-0.1181,33.1579176065,0.531394241595,0.597415257589,0.623428351938,0.557617288111,0.672091801765
136,138.24,-0.3285,-0.2475,0.2092,-0.2308,-0.0495,29.6924636903,0.511719405534,0.619729578123,0.586921936888,0.505479336867,0.620632540236
137,132.51,-0.3638,-0.2194,0.0604,-0.2447,-0.0201,37.0082409741,0.463430210496,0.625613011374,0.588827512944,0.504795909254,0.601985871927
138,132.08,-0.3651,-0.2111,0.1153,-0.1882,-0.0721,28.7717500337,0.477877588928,0.627016578728,0.60981547209,0.500212714752,0.581472776663
139,141.42,-0.3678,-0.0698,-0.0233,-0.1905,-0.0737,39.2826119295,0.530031282096,0.589945726317,0.641117859679,0.51981414948,0.582241625101
140,133.73,-0.4332,-0.1079,-0.1118,-0.2131,-0.1552,34.5174897697,0.463932926187,0.613092643896,0.633148292267,0.522414959587,0.540961144631
141,123.45,-0.4214,-0.1886,-0.0792,-0.2506,-0.1919,28.9293536049,0.509727417352,0.564795573637,0.622283986617,0.496416800683,0.537352202936
142,132.42,-0.3789,-0.2703,-0.095,-0.1871,-0.1294,35.0765391679,0.555715565735,0.601739902283,0.608451312761,0.543137726548,0.535590925987
143,126.31,-0.4379,-0.3954,-0.1991,-0.2134,-0.1898,32.6847655644,0.553827220349,0.551612944011,0.622509590288,0.498084771901,0.495753930897
144,121.46,-0.4337,-0.3874,-0.1241,-0.2841,-0.1986,26.9189227125,0.601667108956,0.522646381409,0.653135659722,0.482446048797,0.473987383798
145,125.88,-0.4103,-0.3701,-0.0283,-0.2706,-0.2276,26.5481750785,0.589739696815,0.570661887636,0.644161555823,0.470724590392,0.474834960802
146,128.61,-0.4045,-0.403,-0.0033,-0.2594,-0.136,31.0431618879,0.57611522285,0.546892128303,0.611982115752,0.485781473504,0.499613850889
147,122.06,-0.4446,-0.3963,-0.0283,-0.2313,-0.1421,26.4196214962,0.504867150843,0.577807329479,0.637976574805,0.475204492824,0.507608697719
148,122.47,-0.4388,-0.4725,0.0594,-0.1541,-0.0037,26.106878404,0.513270455023,0.567944319454,0.656021066735,0.49730894824,0.543506494901
149,123.83,-0.4467,-0.3811,0.1079,-0.1584,-0.0413,25.0723174039,0.516379811766,0.625921552593,0.646913123997,0.486139321594,0.574234542674
150,125.24,-0.5265,-0.3311,0.0145,-0.0338,-0.0792,30.8862817445,0.462044099627,0.621472276131,0.655598009454,0.533673645593,0.601076833691
151,130.29,-0.5715,-0.2195,-0.0175,-0.0856,-0.0572,34.3413147681,0.413727869499,0.669555636225,0.642435016169,0.557455504951,0.604240150933
152,116.24,-0.6348,-0.3013,-0.1387,-0.1363,-0.0539,25.0356226206,0.345136147049,0.604919259075,0.656205234664,0.531335402547,0.619836905968
153,129.26,-0.5428,-0.1287,-0.2178,-0.0876,-0.1024,32.7834165395,0.438191921423,0.637116402237,0.639613289418,0.533867249417,0.59967511204
154,139.49,-0.4163,-0.128,-0.2842,-0.1622,0.0118,40.6564865673,0.510124798456,0.597389320293,0.612571922308,0.509025696797,0.670867170161
155,134.36,-0.378,-0.0925,-0.3673,-0.0771,-0.0065,36.8894348019,0.486986652795,0.546086760506,0.537789652188,0.484510670677,0.647293403334
156,127.72,-0.4362,-0.0871,-0.3608,-0.1315,0.0276,28.0503404614,0.425689511264,0.51400057393,0.543173416139,0.482307733714,0.643091159945
157,137.55,-0.3818,-0.0813,-0.3753,-0.126,-0.0283,37.1274494141,0.529098062745,0.54280319638,0.538706701276,0.503307063332,0.623350711879
158,147.27,-0.3789,-0.0413,-0.3742,-0.1626,0.0783,52.7061391111,0.493025141347,0.502598557499,0.528617404178,0.494577840183,0.640487400344
159,138.88,-0.4059,-0.0485,-0.3601,-0.1544,0.103,38.8098647254,0.48586437408,0.521329790056,0.529927344077,0.495954272086,0.616729276101
160,136.45,-0.3615,-0.0779,-0.3437,-0.1996,0.1509,32.7421364605,0.543027393416,0.468015587347,0.515605769944,0.510611241553,0.625388031545
161,136.79,-0.3706,-0.0658,-0.3512,-0.1178,0.2203,37.6431388171,0.480436926141,0.435901777927,0.519677361447,0.518732262347,0.617600931023
162,141.29,-0.3574,-0.0444,-0.309,-0.0892,0.2373,34.7960615587,0.469332760416,0.429698312773,0.555689661592,0.539271137741,0.601828638401
163,136.79,-0.2973,-0.0751,-0.2777,-0.1748,0.1742,36.02424045,0.474689066653,0.445020213024,0.557827670522,0.48558929148,0.630741119636
164,139.11,-0.3605,-0.0388,-0.2765,-0.0905,0.1154,37.271408613,0.471212001121,0.494585240378,0.536286071048,0.463880103044,0.590439531197
165,135.05,-0.3829,-0.1108,-0.3073,-0.1028,0.1019,34.2319660551,0.428019380402,0.470394897932,0.578217701216,0.502462098073,0.631982112089
